feature,mean_abs_shap
concept:name=Wait - Customer,4.970724898307251e-07
first_activity=Wait - Vendor,4.962593087559743e-07
concept:name_transition=Wait - Implementation->Wait - User,4.076432563099037e-07
resource country=Singapore,3.366567813930854e-07
organization involved=Org line V7n,2.919273640784103e-07
concept:name_transition=In Progress->Wait - Customer,1.9400682523463154e-07
concept:name_transition=Wait->Wait - Implementation,1.4754023462157455e-07
last_activity=Wait - Customer,1.2998251090953673e-07
resource country=Germany,4.7067912045105054e-08
concept:name_transition=Wait - User->Wait - Vendor,2.103573943236994e-17
concept:name_transition=Wait - Vendor->Awaiting Assignment,1.8463641589863994e-17
organization involved=Org line D,8.75714430655844e-18
concept:name_transition=Assigned->Wait - User,7.316294688170672e-18
resource country=Turkey,2.7032872577107026e-18
concept:name_transition=Wait - Customer->Resolved,1.40549875202717e-18
organization involved=Org line G1,4.583995924673382e-19
concept:name_transition=Wait - Vendor->Assigned,3.568160380523757e-19
organization involved=Org line V8,3.350280574393658e-19
concept:name_transition=Wait - User->Wait - Implementation,2.9572493444638314e-19
resource country=Italy,2.7112004362169926e-19
concept:name_transition=Wait - Implementation->Resolved,2.6301241541442866e-19
organization involved=Org line V10,1.9207228166285313e-19
concept:name_transition=Awaiting Assignment->Wait - User,1.5466506956980855e-19
organization involved=Org line V1,1.4734282999609476e-19
concept:name_transition=Resolved->Awaiting Assignment,1.1576139691439638e-19
concept:name_transition=Wait - Vendor->Resolved,1.1575510068191634e-19
concept:name_transition=Resolved->Assigned,1.1428078775423292e-19
concept:name_transition=Awaiting Assignment->Assigned,9.883393744414005e-20
concept:name_transition=Wait - Implementation->Wait - Customer,8.57052107048289e-20
concept:name_transition=Wait - Vendor->Wait - User,7.436561916460265e-20
resource country=Argentina,6.983098612322127e-20
last_activity=Closed,6.237140216927598e-20
concept:name_transition=Wait - Implementation->Wait - Vendor,4.792063729893711e-20
organization country=de,3.303583938225107e-20
concept:name_transition=Awaiting Assignment->Wait,3.076821140842925e-20
concept:name=Closed,2.2805289494768378e-20
concept:name_transition=Resolved->Resolved,2.0037348498383646e-20
concept:name_transition=Closed->In Progress,1.2078019454811074e-20
concept:name_transition=Wait - Customer->Awaiting Assignment,9.732095268605034e-21
resource country=Romania,9.70827998574618e-21
organization involved=Org line V,9.471160788594697e-21
concept:name_transition=Wait - Customer->Wait,8.173369667784948e-21
event_type=Unmatched,6.190385065634238e-21
concept:name_transition=Closed->Awaiting Assignment,4.648125474186158e-21
concept:name_transition=Assigned->Awaiting Assignment,4.5656266329924305e-21
last_activity=Unmatched,3.95320120661279e-21
organization country=cl,2.8742458106406688e-21
