feature,mean_abs_shap
concept:name_transition=Wait - Implementation->Resolved,6.770686524553689e-07
organization involved=Org line V9,4.735187240703375e-07
organization country=cl,4.6429896454630295e-07
concept:name=Wait - Customer,2.929262560859757e-07
concept:name_transition=Wait->Assigned,2.685493127445361e-07
organization involved=Org line V1,2.3594242770053912e-07
resource country=Netherlands,1.0094196178491327e-07
concept:name_transition=Closed->In Progress,8.742063918845142e-08
resource country=Argentina,3.6027206699523644e-08
resource country=Italy,3.489560637728356e-08
concept:name=Closed,7.3551374209588e-17
organization involved=Org line G3,1.3438724838599137e-18
organization involved=Org line D,7.9816288669393745e-19
concept:name_transition=Wait - Implementation->Awaiting Assignment,4.393558204605448e-19
concept:name_transition=Wait - Customer->Wait - User,4.1161699659435167e-19
concept:name_transition=Wait->Wait - Implementation,3.7999069377687746e-19
concept:name_transition=Wait - Customer->Wait - Vendor,3.6916894664842726e-19
resource country=United Kingdom,2.3337589856681373e-19
organization involved=Org line V10,2.2554400419465897e-19
organization involved=Org line I,2.0174318472391097e-19
resource country=Germany,1.717713109910571e-19
concept:name_transition=Wait - Customer->Awaiting Assignment,1.5102129746020552e-19
concept:name_transition=Resolved->Closed,9.263598637994529e-20
organization involved=Org line V7,8.485412656503126e-20
concept:name_transition=Wait->Wait - Vendor,8.09100213874413e-20
first_activity=Assigned,7.454039130414068e-20
organization involved=Org line V,7.450105120576595e-20
last_activity=Closed,6.736933595315773e-20
last_activity=Wait - Customer,6.729827031049188e-20
concept:name_transition=Wait - Vendor->Awaiting Assignment,6.724668466641612e-20
concept:name=Unmatched,6.287486795777373e-20
concept:name_transition=In Call->In Call,5.480806137149506e-20
concept:name_transition=Wait - Implementation->Wait - User,4.5191225580951013e-20
concept:name_transition=Wait - Vendor->Assigned,3.703872316475799e-20
concept:name_transition=Wait - Customer->In Progress,3.418334085108446e-20
organization country=de,2.659148938067815e-20
concept:name_transition=Wait - Vendor->Resolved,2.0930602715911765e-20
organization involved=Org line V8,1.919517695144725e-20
resource country=Spain,1.8158135763505245e-20
concept:name_transition=Wait - Vendor->Wait - User,1.3502088049500896e-20
concept:name_transition=Wait - Implementation->Wait - Vendor,1.2807619734839214e-20
concept:name_transition=Resolved->Awaiting Assignment,3.3182877044911846e-21
